province,university,program,internationalTuition,domesticTuition,minimumAverage,length,language,toefl,rank,notes,longitude,latitude,link
Alberta,University of Calgary,Accounting,611,538,Low 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Acturial Science,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Ancient and Medival History,611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Anthropology(Biological),611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Anthropology(Social and Culture),611,538,low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Applied Chamistry(cooperative education mandatory),611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Applied Mathematics,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Archaelology,611,538,Low 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Architecture,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Astrophysicis,611,538,mid 70s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Biochemistry,611,538,low 90s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
Alberta,University of Calgary,Bioinformatics,611,538,mid 80s,4 years,English,550 on the written test or 86 on the internet-based test,,Cost per 3 units. Please see university website for additional tuition and admission information. ,114° 7' 59" W,51° 4' 39" N,www.ucalgary.ca
