province,university,program,internationalTuition,domesticTuition,minimumAverage,length,language,toefl,rank,notes,longitude,latitude,link
British Columbia, University of British Columbia,Business Management (combined with Master's program),45089,7689,70,4.5 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Commerce,45089,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Business and Computer Science,45089,7689,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Economics,34847,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Food Market Analysis,37240,5535,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Interdisciplinary Studies,37240,5535,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,International Economics,37240,5535,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,International Relations,37240,5535,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Statistics,34912,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Applied Animal Biology,37240,5535,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Atmospheric Science,34912,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Biochemistry,34912,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Biology,34912,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Biophysics,34912,5189,70,5 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Biotechnology,34912,5189,70,5 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,"Cellular, Anatomical, and Physiological Sciences",34912,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Chemistry,34912,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Food and the Environment,37240,5535,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Geophysics,34912,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Integrated Sciences,34912,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Microbiology and Immunology,34912,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Pharmacology,34912,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Science Combined Major,34912,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Creative Writing,34847,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Film Production,34847,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Film Studies,34847,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
British Columbia, University of British Columbia,Media Studies,34847,5189,70,4 years,English,"550 Paper-based test, 90 Internet-based test",,Please see university website for additional tuition and admission information based on your country and province.,123° 15' 11" W,49° 15' 40" N,www.ubc.ca
