province,university,program,internationalTuition,domesticTuition,minimumAverage,length,language,toefl,rank,notes,longitude,latitude,link
Prince Edward Island,University of Prince Edward Island,Acadian Studies- Minor,6822,5860,70%,21 semester hours,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,Anthropology,6822,5860,70%,4 years,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,"Applied Communication, Leadership, and Culture",6822,5860,70%,4 years,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,Arts seminars,6822,5860,70%,4 years,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,Asian Studies- Minor,6822,5860,70%,21 semester hours,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,Canadian Studies,6822,5860,70%,4 years,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,Catholic Studies- Minor,6822,5860,70%,21 semester hours,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,Christain Studies- Minor,6822,5860,70%,21 semester hours,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,Classics- Minor,6822,5860,70%,21 semester hours,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,Diversity and Social Justice Studies,6822,5860,70%,4 years,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,Economics,6822,5860,70%,4 years,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,English,6822,5860,70%,4 years,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,Environmental Studies,6822,5860,70%,4 years,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,Fine Arts- Minor,6822,5860,70%,21 semester hours,English,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,French,6822,5860,70%,4 years,English and French,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
Prince Edward Island,University of Prince Edward Island,German,6822,5860,70%,4 years,English and German,550 with minimum TWE of 5.5,,,63° 8' 16.8" W,46° 15' 32.4" N,www.upei.ca
