Province,University,Program,International tuition,Domestic tuition,Minimum average,Length Of Program,Program Language,TOEFL Score,Rank,Notes
Ontario,University of Western Ontario,Art History,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Art History and Criticism,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Arts and Humanities (SASAH),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Classical Studies,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Comparative Literature and Culture,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Creative Writing (creative writing),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Creative Writing and English Language and Literature,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Digital Humanities (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Digital Spanish (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,"English, Spanish","580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,English for Teachers (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,English Language and Literature,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Ethics (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,"Feminist, Queer and Critical Race Theory (minor)",$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Film Studies,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,French Studies,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,"English, French","580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,General Cinema Studies (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,General English (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,German (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,"English, German","580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,German Language and Culture,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,"English, German","580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Global Gender Studies,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Greek (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,"English, Greek","580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Greek and Latin (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,"English, Greek / Latin","580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Greek and Latin Literature (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,"English, Greek","580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Greek and Roman Archaeology (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Intercultural Communications for Arabic (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,"English, Arabic","580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Intercultural Communications for Japanese (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,"English, Japanese","580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Italian Language and Culture,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,"English, Italian","580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Latin (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,"English, Latin","580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Linguistics,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Medieval Studies,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Museum and Curatorial Studies,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Philosophy,$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
Ontario,University of Western Ontario,Philosophy of Science (minor),$26 730 to $29 570 first year,"$7811.10 year 1, $7721.10 years 2, 3, 4",Low to Mid 80s,3-5 years,English,"580, 5 on the Test of Written English",,
