Province,University,Programme,International tuition,Domestic tuition,Minimum average,Length of Programme,Programme Language,TOEFL Score,Rank,Notes,Longitude,Latitude,URL
Manitoba,Brandon University,Anthropology,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Applied Disaster and Emergency Studies,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Business Administration,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Classical and Modern Languages,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Drama,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Economics,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,English and Creative Writing,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Gender and Women’s Studies Program,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,History,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Native Studies,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Philosophy,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Political Science,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Religion,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Rural Development,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Sociology,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Visual and Aboriginal Art,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Business Administration,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Painting,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Ceramics,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Aboriginal Art,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Drawing,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Digital Media and Design,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Art History/Visual Culture (minor),7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Painting (minor),7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Ceramics (minor),7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Aboriginal Art (minor),7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Drawing (minor),7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Specialist in School Music,7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Music(honours),7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Music(performance),7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
Manitoba,Brandon University,Music-performance(Jazz Studies),7677,4298,60,4 years,English,550 (paper-based test) or 80 (Internet-based test),,Please see university website for additional tuition and admission information.,97° 7' 58" W,49° 48' 34" N,www.brandonu.ca
