Province,University,Program,International tuition,Domestic tuition,Minimum average,Length Of Program,Program Language,TOEFL Score,Rank,Notes,Longitude,Latitude,URL
Ontario,University of Western Ontario,Art History,26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,Art History and Criticism,26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,Arts and Humanities (SASAH),26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,Classical Studies,26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,Comparative Literature and Culture,26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,Creative Writing (creative writing),26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,Creative Writing and English Language and Literature,26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,Digital Humanities (minor),26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,Digital Spanish (minor),26730,7811,Low to mid 80s,3-5 years,"English, Spanish","550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,English for Teachers (minor),26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,English Language and Literature,26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,Ethics (minor),26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,"Feminist, Queer and Critical Race Theory (minor)",26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,Film Studies,26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,French Studies,26730,7811,Low to mid 80s,3-5 years,"English, French","550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,General Cinema Studies (minor),26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,General English (minor),26730,7811,Low to mid 80s,3-5 years,English,"550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
Ontario,University of Western Ontario,German (minor),26730,7811,Low to mid 80s,3-5 years,"English, German","550 (paper based), 83 (Internet based)",,See university website for additional tuition and admission information.,81° 16' 18.82" W,43° 0' 29.84" N,www.uwo.ca
