Province,University,Program,International tuition,Domestic tuition,Minimum average,Length Of Program,Program Language,TOEFL Score,Rank,Notes,Longitude,Latitude,URL
Quebec,Bishop's University,Art History,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Arts Administration,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Classical Studies,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Drama,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,English,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Études françaises et québécoises,19000,7405,75,4 years,French,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Fine Arts,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,History and Global Studies,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Liberal Arts,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,"Modern Languages, Literatures and Cultures: German, Hispanic Studies, or Japanese",19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Music,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information. Audition required. ,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Philosophy,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Religion,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Biochemistry,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Biological Sciences,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Chemistry,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Computer Science,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Mathematics,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Physics and Astronomy,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Interuniversity Partnership for Undergraduate Science Programs,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Economics,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Environment and Geography,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Politics and International Studies,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Psychology,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Sociology,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Sports Studies,19000,7405,75,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Bachelor of Business Administration ,19000,7405,77,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information. 3 years for CEGEP Students.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Bishop's University,Bachelor of Arts with Business Major/Minor,19000,7405,77,4 years,English,580 (paper-based); 237 (computer-based); 90 (Internet-based),,Admission and tuition dependent on country and province. Please see University website for additional information. 3 years for CEGEP Students.,71° 50' 43.67" W,45° 22' 0.16" N,www.ubishops.ca
Quebec,Concordia University,Accountancy (BComm),609,246,80,3-4 years,English and French,Minimum score of 42,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Acting for the Theatre (BFA),609,246,65,3-4 years,English and French,Minimum score of 41,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,"Actuarial Mathematics/Finance (BA, BSc)",609,246,90,3-4 years,English and French,Minimum score of 40,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,"Actuarial Mathematics (BA, BSc)",609,246,85,3-4 years,English and French,Minimum score of 39,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Administration (BAdmin),609,246,80,3-4 years,English and French,Minimum score of 38,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,"Adult Education (Minor, Cert)",609,246,70,30 credits,English and French,Minimum score of 37,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Aerospace Engineering (BEng),609,246,85,4 years,English and French,Minimum score of 36,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Anthropology (BA),609,246,72,3-4 years,English and French,Minimum score of 35,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Anthropology and Sociology (BA),609,246,72,3-4 years,English and French,Minimum score of 34,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,"Art Education, Visual Arts (BFA)",609,246,65,3-4 years,English and French,Minimum score of 33,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Art History (BFA),609,246,65,3-4 years,English and French,Minimum score of 32,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Art History and Film Studies (BFA),609,246,65,3-4 years,English and French,Minimum score of 31,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Art History and Studio Art (BFA),609,246,65,3-4 years,English and French,Minimum score of 30,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Arts and Science (Cert),609,246,70,30 credits,English and French,Minimum score of 29,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Behavioural Neuroscience (BSc),609,246,85,3-4 years,English and French,Minimum score of 28,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Biochemistry (BSc),609,246,70,3-4 years,English and French,Minimum score of 27,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Biology (BSc),609,246,75,3-4 years,English and French,Minimum score of 26,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Building Engineering (BEng),609,246,80,4 years,English and French,Minimum score of 25,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,"Business Studies (Minor, Cert)",609,246,80,30 credits,English and French,Minimum score of 24,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
Quebec,Concordia University,Business Technology Management (BComm),609,246,80,3-4 years,English and French,Minimum score of 23,,Tuition stated is per credit. Admission and tuition dependent on country and province. Please see university website for additional information.,73° 34' 40.8" W,45° 29' 49.2" N,www.concordia.ab.ca
