Province,University,Program,International tuition,Domestic tuition,Minimum average,Length Of Program,Program Language,TOEFL Score,Rank,Notes,Longitude,Latitude,URL
Saskatchewan,Campion College,Anthropology,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Art History,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Classical and Medieval Studies ,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Economics,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,English,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Environmental Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,French,9790,3595,65,1-4 years,"English, French","Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Geography,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,History,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Human Justice (Criminology/Social Justice),9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Indigenous Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,International Languages,9790,3595,65,1-4 years,"English, Mandarin, Chinese, Japanese, Spanish, German, Korean, Arabic","Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,International Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Journalism,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Philosophy,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Police Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Political Science,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Psychology,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Religious Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Sociology and Social Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Women's and Gender Studies,9790,3595,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Film and Video Production,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Film and Video Studies,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Music,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,Music Education,10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
Saskatchewan,Campion College,"Theatre (Acting, Production, Design)",10352,3782,65,4 years,English,"Internet based: 80, Paper based: 550 ",,Please see university website for additional tuition and admission information.,104° 35' 13.1" W,50° 25' 5.5" N,www.campioncollege.ca
